City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Imphal,IN,2022-01-26 23:32:47,24.8167,93.95,50.99,91,91,1.59
238,Alice Springs,AU,2022-01-26 23:30:10,-23.7,133.8833,83.75,65,75,6.91
239,Tommot,RU,2022-01-26 23:33:58,58.9564,126.2925,-1.52,96,100,10.51
240,Ambanja,MG,2022-01-26 23:33:58,-13.6833,48.45,72.84,91,94,2.62
241,Anahuac,MX,2022-01-26 23:33:59,27.2333,-100.15,62.1,50,35,4.52
242,Fasa,IR,2022-01-26 23:33:59,28.9383,53.6482,40.24,81,0,4.61
243,Ayan,RU,2022-01-26 23:33:59,56.45,138.1667,-2.11,75,97,6.62
244,Basco,PH,2022-01-26 23:34:00,20.4487,121.9702,75.18,82,100,24.02
245,Verkhnyaya Toyma,RU,2022-01-26 23:34:00,62.2349,44.9985,-12.17,100,98,2.17
246,Celestun,MX,2022-01-26 23:34:00,20.8667,-90.4,73.62,79,36,14.07
247,Mendi,PG,2022-01-26 23:34:01,-6.1761,143.6513,61.11,92,100,1.83
248,Tabas,IR,2022-01-26 23:34:01,33.5959,56.9244,48.85,33,41,5.14
249,Kabanjahe,ID,2022-01-26 23:32:04,3.1001,98.4908,60.84,90,75,2.55
250,Mitu,CO,2022-01-26 23:34:02,1.1983,-70.1733,75.85,87,74,2.98
251,Point Fortin,TT,2022-01-26 23:32:17,10.1833,-61.6833,79.02,73,13,12.82
252,Ken Caryl,US,2022-01-26 23:34:02,39.5773,-105.1169,41.81,54,3,1.01
253,Iwanai,JP,2022-01-26 23:34:03,42.9744,140.5089,29.93,79,99,12.3
254,Bilibino,RU,2022-01-26 23:34:03,68.0546,166.4372,-33.45,96,24,3.67
255,Hobyo,SO,2022-01-26 23:34:03,5.3505,48.5268,75.51,67,26,17.94
256,Madimba,TZ,2022-01-26 23:34:04,-10.4,40.3333,77.43,79,93,5.97
257,Kouango,CF,2022-01-26 23:34:04,4.9934,19.9619,77.88,23,100,3.62
258,Tanete,ID,2022-01-26 23:34:04,-3.9443,119.7848,80.56,86,77,3.04
259,Hauterive,FR,2022-01-26 23:34:05,46.0901,3.4459,27.36,88,7,1.52
260,Salento,CO,2022-01-26 23:34:05,4.6375,-75.5703,63.73,98,99,0.56
261,Benghazi,LY,2022-01-26 23:34:05,32.1167,20.0667,54.52,61,100,16.24
262,Samur,RU,2022-01-26 23:34:06,41.8253,48.486,36.21,77,78,6.51
263,Baryshevo,RU,2022-01-26 23:34:06,54.9564,83.1822,-5.71,82,91,1.95
264,Tiksi,RU,2022-01-26 23:34:06,71.6872,128.8694,0.64,88,40,18.19
265,Tazmalt,DZ,2022-01-26 23:34:07,36.3868,4.3989,45.32,63,58,4.03
266,Ljungby,SE,2022-01-26 23:34:07,56.8332,13.9408,40.37,86,100,14.16
267,Sorkjosen,NO,2022-01-26 23:34:07,69.8,20.9333,24.48,72,98,5.97
268,Skjervoy,NO,2022-01-26 23:34:08,70.0311,20.9714,30.02,58,98,5.26
269,Tual,ID,2022-01-26 23:34:08,-5.6667,132.75,83.64,78,100,5.37
270,Quelimane,MZ,2022-01-26 23:34:08,-17.8786,36.8883,73.71,87,100,5.97
271,Aksarka,RU,2022-01-26 23:34:09,66.5606,67.7975,6.91,93,100,9.31
272,Teguise,ES,2022-01-26 23:34:09,29.0605,-13.564,55.62,77,0,5.75
273,Puerto Varas,CL,2022-01-26 23:34:09,-41.3195,-72.9854,70.02,56,0,9.22
274,Sainte-Marie,RE,2022-01-26 23:35:10,-20.8968,55.5496,71.76,83,0,4.61
275,Rena,NO,2022-01-26 23:35:10,61.1348,11.3641,27.82,95,100,1.79
276,Leningradskiy,RU,2022-01-26 23:35:10,69.3833,178.4167,-25.85,89,24,3.6
277,Chapais,CA,2022-01-26 23:35:11,49.7834,-74.8492,-15.02,92,42,10.33
278,Ongandjera,NA,2022-01-26 23:35:11,-17.8833,15.0667,81.03,40,89,1.28
279,Gushikawa,JP,2022-01-26 23:35:11,26.3544,127.8686,66.2,89,0,3.44
280,Channel-Port Aux Basques,CA,2022-01-26 23:30:51,47.5702,-59.1367,22.75,81,100,9.91
281,Sayyan,YE,2022-01-26 23:35:12,15.1718,44.3244,47.73,57,0,1.81
282,Coihueco,CL,2022-01-26 23:31:55,-36.6167,-71.8333,77.74,41,0,10.36
283,Belmonte,BR,2022-01-26 23:35:12,-15.8631,-38.8828,75.7,86,97,7.78
284,Batagay-Alyta,RU,2022-01-26 23:35:13,67.8006,130.4114,-10.93,86,100,5.64
285,Namibe,AO,2022-01-26 23:35:13,-15.1961,12.1522,76.24,81,100,4.5
286,Bonavista,CA,2022-01-26 23:35:13,48.6499,-53.1147,32.11,72,100,17.09
287,Torbay,CA,2022-01-26 23:35:14,47.6666,-52.7314,36.57,97,75,5.75
288,Garowe,SO,2022-01-26 23:35:14,8.4054,48.4845,61.81,78,18,7.36
289,Lerwick,GB,2022-01-26 23:35:14,60.1545,-1.1494,46.4,85,89,27.45
290,Bereda,ES,2022-01-26 23:35:15,43.2686,-7.5406,45.91,97,63,2.21
291,Fortuna,US,2022-01-26 23:35:15,40.5982,-124.1573,58.19,80,0,3.0
292,Xai-Xai,MZ,2022-01-26 23:35:15,-25.0519,33.6442,75.45,95,100,7.09
293,Ninghai,CN,2022-01-26 23:35:16,29.2892,121.4247,50.74,98,100,3.58
