City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Tra Vinh,VN,9.9347,106.3453,89.58,50,22,3.44,few clouds
241,Ilebo,CD,-4.3167,20.5833,71.92,91,100,2.04,overcast clouds
242,Arraial Do Cabo,BR,-22.9661,-42.0278,75.6,92,98,5.46,overcast clouds
243,Churapcha,RU,62.0025,132.4325,-19.66,94,100,3.8,overcast clouds
244,Lazarev,RU,52.225,141.5131,-7.67,84,15,1.63,few clouds
245,Umm Lajj,SA,25.0213,37.2685,59.83,47,0,10.0,clear sky
246,Lazaro Cardenas,MX,17.9583,-102.2,74.89,76,2,1.45,clear sky
247,Stornoway,GB,58.2093,-6.3865,51.76,93,100,15.01,moderate rain
248,Emba,KZ,48.8264,58.1442,8.38,95,98,2.44,overcast clouds
249,Santiago Del Estero,AR,-27.7951,-64.2615,69.19,58,0,3.44,clear sky
250,Wattegama,LK,6.7989,81.4808,79.72,64,41,3.83,scattered clouds
251,Klaksvik,FO,62.2266,-6.589,40.12,96,100,18.41,overcast clouds
252,Saint-Augustin,CA,51.226,-58.6502,7.63,87,100,11.27,overcast clouds
253,Touros,BR,-5.1989,-35.4608,74.3,82,100,8.05,moderate rain
254,Coruripe,BR,-10.1256,-36.1756,78.19,80,100,11.05,moderate rain
255,Kavaratti,IN,10.5669,72.642,80.67,72,7,10.65,clear sky
256,Chuy,UY,-33.6971,-53.4616,63.88,79,0,4.76,clear sky
257,Kaitangata,NZ,-46.2817,169.8464,63.93,69,99,6.73,overcast clouds
258,Chojnice,PL,53.6955,17.557,30.29,89,100,9.48,overcast clouds
259,Margate,GB,51.3813,1.3862,50.76,86,50,5.99,scattered clouds
260,Ordynskoye,RU,54.3656,81.8994,3.97,92,100,4.54,overcast clouds
261,Fortuna,US,40.5982,-124.1573,47.32,83,0,0.0,clear sky
262,Arenapolis,BR,-14.4503,-56.8461,72.39,98,99,4.14,moderate rain
263,Geraldton,AU,-28.7667,114.6,100.81,28,0,14.97,clear sky
264,Awjilah,LY,29.1081,21.2869,49.89,81,45,8.14,scattered clouds
265,Kochubey,RU,44.3861,46.5825,30.56,78,6,6.22,clear sky
266,Kangema,KE,-0.6833,36.9667,55.56,79,98,4.32,overcast clouds
267,Basco,PH,20.4487,121.9702,76.05,76,84,23.89,broken clouds
268,Kandrian,PG,-6.2167,149.55,80.15,83,100,6.33,light rain
269,Tabou,CI,4.423,-7.3528,78.53,83,60,1.66,broken clouds
270,Aloleng,PH,16.1307,119.7824,82.22,71,95,5.61,overcast clouds
271,Kabare,CD,-2.4683,28.8242,60.4,92,88,1.95,light rain
272,Collie,AU,-33.3667,116.15,89.98,23,64,3.53,broken clouds
273,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,69.73,41,3,6.58,clear sky
274,Koygorodok,RU,60.445,50.9968,9.95,96,100,5.66,overcast clouds
275,Bandundu,CD,-3.3167,17.3667,73.99,79,100,1.28,overcast clouds
276,Severo-Kurilsk,RU,50.6789,156.125,23.25,73,100,25.77,overcast clouds
277,Burnie,AU,-41.0667,145.9167,73.94,73,72,7.54,broken clouds
278,Batagay-Alyta,RU,67.8006,130.4114,-4.5,94,98,4.32,overcast clouds
279,Lagunas,PE,-5.2269,-75.6753,75.7,82,99,2.37,overcast clouds
280,Sembe,CG,1.6481,14.5806,67.95,39,63,0.27,broken clouds
281,Tommot,RU,58.9564,126.2925,0.48,91,100,10.42,overcast clouds
282,Mount Gambier,AU,-37.8333,140.7667,71.51,64,100,17.27,overcast clouds
